trade_date,close,open,北向资金
2014-11-17,2567.101,2613.513,13000.0
2014-11-18,2541.416,2565.273,4845.0
2014-11-19,2537.223,2538.233,2612.0
2014-11-20,2537.099,2528.78,2276.0
2014-11-21,2583.455,2537.538,2341.0
2014-11-24,2649.258,2614.16,6956.0
2014-11-25,2685.561,2650.085,2853.0
2014-11-26,2723.018,2695.263,3295.0
2014-11-27,2754.49,2737.03,2990.0
2014-11-28,2808.819,2753.925,2345.0
2014-12-01,2819.812,2825.611,1398.0
2014-12-02,2923.94,2807.338,3311.0
2014-12-03,2967.549,2936.124,3861.0
2014-12-04,3104.351,2975.403,3521.0
2014-12-05,3124.885,3143.968,2567.0
2014-12-08,3252.881,3108.272,1677.0
2014-12-09,3106.913,3233.097,1159.0
2014-12-10,3221.546,3120.212,1941.0
2014-12-11,3183.012,3185.161,1074.0
2014-12-12,3193.227,3182.923,1862.0
2014-12-15,3217.228,3176.829,1068.0
2014-12-16,3303.402,3221.358,1318.0
2014-12-17,3360.598,3325.82,648.0
2014-12-18,3345.927,3359.09,1908.0
2014-12-19,3383.167,3345.629,1071.0
2014-12-22,3394.481,3396.251,1428.0
2014-12-23,3324.924,3358.798,653.0
2014-12-24,3230.385,3332.146,0.0
2014-12-29,3455.455,3502.183,750.0
2014-12-30,3457.554,3450.814,-630.0
2014-12-31,3533.705,3462.389,2312.0
2015-01-05,3641.541,3566.089,4689.0
2015-01-06,3641.059,3608.428,2091.0
2015-01-07,3643.79,3620.924,1753.0
2015-01-08,3559.259,3650.073,1078.0
2015-01-09,3546.723,3547.574,1617.0
2015-01-12,3513.576,3531.515,-1133.0
2015-01-13,3514.04,3506.451,-116.0
2015-01-14,3502.423,3522.907,721.0
2015-01-15,3604.121,3501.719,1008.0
2015-01-16,3635.146,3616.248,422.0
2015-01-19,3355.155,3414.013,-327.0
2015-01-20,3396.222,3336.793,2424.0
2015-01-21,3548.885,3420.491,2135.0
2015-01-22,3567.613,3551.052,250.0
2015-01-23,3571.732,3582.088,424.0
2015-01-26,3607.985,3580.118,587.0
2015-01-27,3574.931,3614.038,1137.0
2015-01-28,3525.323,3547.239,1832.0
2015-01-29,3481.798,3474.915,2886.0
2015-01-30,3434.39,3496.885,1816.0
2015-02-02,3353.96,3360.193,2336.12
2015-02-03,3437.445,3388.602,4958.0
2015-02-04,3401.768,3446.144,2167.0
2015-02-05,3366.946,3487.951,3806.0
2015-02-06,3312.42,3352.33,1540.0
2015-02-09,3345.921,3305.734,1999.0
2015-02-10,3406.943,3345.077,1824.0
2015-02-11,3434.124,3415.977,1767.0
2015-02-12,3442.874,3435.361,1410.0
2015-02-13,3469.828,3458.827,2157.0
2015-02-16,3499.483,3473.289,328.0
2015-02-17,3522.322,3511.544,403.0
2015-02-25,3478.729,3529.55,1173.0
2015-02-26,3566.295,3473.713,-274.0
2015-02-27,3572.843,3565.233,812.0
2015-03-02,3601.265,3603.452,1127.0
2015-03-03,3507.9,3579.315,641.0
2015-03-04,3530.822,3514.667,622.0
2015-03-05,3496.344,3513.249,819.0
2015-03-06,3478.52,3501.184,465.0
2015-03-09,3537.75,3449.696,665.0
2015-03-10,3520.611,3523.64,103.0
2015-03-11,3524.653,3524.575,960.0
2015-03-12,3592.844,3557.686,1719.0
2015-03-13,3617.657,3604.671,1664.0
2015-03-16,3705.671,3641.773,1520.0
2015-03-17,3757.122,3733.961,2324.0
2015-03-18,3846.055,3769.086,1740.0
2015-03-19,3839.739,3851.249,208.0
2015-03-20,3892.574,3852.492,1549.0
2015-03-23,3972.061,3923.083,2142.0
2015-03-24,3973.046,3980.066,-1552.0
2015-03-25,3940.412,3961.578,94.0
2015-03-26,3949.999,3921.745,-917.0
2015-03-27,3971.697,3957.542,211.0
2015-03-30,4088.178,3999.024,-1085.0
2015-03-31,4051.204,4138.885,-1273.0
2015-04-01,4123.895,4057.501,359.0
2015-04-02,4124.776,4149.946,0.0
2015-04-08,4295.803,4277.45,-3505.0
2015-04-09,4262.138,4316.958,-4979.0
2015-04-10,4344.416,4249.383,-614.0
2015-04-13,4421.073,4394.047,1206.0
2015-04-14,4438.184,4432.126,616.0
2015-04-15,4380.513,4439.314,1148.0
2015-04-16,4513.546,4355.491,1945.0
2015-04-17,4596.136,4578.679,1803.0
2015-04-20,4521.919,4615.034,-1023.0
2015-04-21,4619.164,4520.461,1722.0
2015-04-22,4739.814,4637.055,835.0
2015-04-23,4740.892,4764.481,-376.0
2015-04-24,4702.641,4682.626,736.0
2015-04-27,4807.592,4753.871,1255.0
2015-04-28,4741.861,4811.319,-168.0
2015-04-29,4774.326,4722.903,764.0
2015-04-30,4749.886,4788.412,-335.0
2015-05-04,4787.741,4757.637,534.0
2015-05-05,4596.837,4785.192,833.0
2015-05-06,4553.327,4626.231,712.0
2015-05-07,4470.089,4520.818,2647.0
2015-05-08,4558.404,4515.554,1167.0
2015-05-11,4690.532,4582.091,37.0
2015-05-12,4747.421,4692.122,-274.0
2015-05-13,4718.436,4746.713,-331.0
2015-05-14,4700.778,4717.955,-109.0
2015-05-15,4617.47,4690.755,597.0
2015-05-18,4575.14,4582.058,1247.0
2015-05-19,4731.222,4577.637,2215.0
2015-05-20,4754.919,4751.572,2936.0
2015-05-21,4840.976,4768.689,2012.0
2015-05-22,4951.335,4895.925,0.0
2015-05-26,5198.918,5140.798,3588.0
2015-05-27,5181.434,5216.17,343.0
2015-05-28,4834.007,5174.101,-3125.0
2015-05-29,4840.829,4839.53,2295.0
2015-06-01,5076.179,4862.756,1934.0
2015-06-02,5161.87,5091.272,481.0
2015-06-03,5143.59,5176.597,218.0
2015-06-04,5181.416,5156.012,-260.0
2015-06-05,5230.552,5254.905,-609.0
2015-06-08,5353.751,5259.408,-540.0
2015-06-09,5317.461,5379.47,-1262.0
2015-06-10,5309.112,5254.3042,1739.0
2015-06-11,5306.59,5305.1407,-866.0
2015-06-12,5335.1151,5329.2781,1548.0
2015-06-15,5221.1665,5354.0138,-1147.0
2015-06-16,5064.8212,5165.0245,65.0
2015-06-17,5138.8307,5072.3064,-861.0
2015-06-18,4930.5491,5107.6946,657.0
2015-06-19,4637.0517,4847.0568,7804.0
2015-06-23,4786.0906,4641.4248,7066.0
2015-06-24,4880.1261,4811.5949,-3039.0
2015-06-25,4706.5159,4906.2416,-3556.0
